"FilePath","Encoding","EndsWithNewline","EOLType","Error"
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM01.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM02.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM03.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM04.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM05.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM06.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM07.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM08.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM09.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM10.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CWKTDB2X.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CWXTCOB.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CWXTPLI.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\SLOGREPT.pli","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\TPROG01.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\TPROG02.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\TPROG03.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\TPROG04.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\TPROG05.cbl","UTF-8 (no BOM or ASCII)","False","None",
