"FilePath","Encoding","EndsWithNewline","EOLType","Error"
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\.project","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GitFlow.jenkinsfile","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\zapp.yaml","UTF-8 (no BOM or ASCII)","True","LF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\.github\workflows\ispw-sync-local-workflow.yml","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\.github\workflows\release-workflow.yml","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\.github\workflows\workflow_dispatch_choice_input_example.yml","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\.project","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\ispwconfig-nosb.yml","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\ispwconfig.yml","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\.settings\GenApp_MainframeCore.prefs","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\.settings\org.eclipse.core.resources.prefs","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\.settings\org.sonarlint.eclipse.core.prefs","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\CLINC01.incl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\CLINC02.incl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\CLINC03.incl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\CLINC04.incl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\CLINC05.incl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\CLINC06.incl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\CLINC07.incl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\CLINC08.incl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\CLINC09.incl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\CLINC10.incl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\EMPFILE.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\RPTEMP.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\RPTREGN.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\TCPYA01.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\TCPYA02.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\TCPYA03.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\TCPYA04.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\TCPYA05.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\TCPYB01.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\TCPYB02.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\TCPYB03.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\TCPYB04.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Copys\TCPYB05.cpy","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Jobs\TJOB01.jcl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Jobs\TJOB02.jcl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Jobs\TJOB03.jcl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Jobs\TJOB04.jcl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Jobs\TJOB05.jcl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM01.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM02.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM03.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM04.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM05.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM06.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM07.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM08.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM09.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CLPLM10.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CWKTDB2X.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CWXTCOB.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\CWXTPLI.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\SLOGREPT.pli","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\TPROG01.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\TPROG02.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Progs\TPROG03.cbl","UTF-8 (no BOM or ASCII)","False","None",
